instrument,bucket_start,open,high,low,close,live_fast15,live_h1,live_h1_prev,live_mid15,strat_prev_htf,strat_store_htf,strat_prev_close,bars_processed,prev_close,state,pos_side,pending_side,pending_trig,stop,stop_flt
GOLDM,2026-08-24 09:00,160519.0,162232.0,159458.0,161847.0,161847.0,,,161847.0,,,,0,,flat,,,,,[]
SILVERM,2026-08-24 09:00,254808.0,255500.0,253739.0,254920.0,254920.0,,,254920.0,,,,0,,flat,,,,,[]
GOLDM,2026-08-24 09:15,161830.0,162036.0,161821.0,161842.0,161847.0,,,161847.0,,,,0,161847.0,flat,,,,,[]
SILVERM,2026-08-24 09:15,254860.0,254926.0,254045.0,254050.0,254920.0,,,254920.0,,,,0,254920.0,flat,,,,,[]
GOLDM,2026-08-24 09:30,161845.0,161894.0,161556.0,161752.0,161847.0,,,161847.0,,,,0,161842.0,flat,,,,,[]
SILVERM,2026-08-24 09:30,253900.0,254399.0,253794.0,254200.0,254920.0,,,254920.0,,,,0,254050.0,flat,,,,,[]
GOLDM,2026-08-24 09:45,161763.0,161970.0,161643.0,161935.0,161847.0,161935.0,,161847.0,,,,0,161752.0,flat,,,,,[]
SILVERM,2026-08-24 09:45,254132.0,254743.0,253873.0,254565.0,254920.0,254565.0,,254920.0,,,,0,254200.0,flat,,,,,[]
GOLDM,2026-08-24 10:00,161935.0,161950.0,161717.0,161871.0,161847.0,161935.0,,161847.0,,,,0,161935.0,flat,,,,,[]
SILVERM,2026-08-24 10:00,254632.0,254632.0,254149.0,254488.0,254920.0,254565.0,,254920.0,,,,0,254565.0,flat,,,,,[]
GOLDM,2026-08-24 10:15,161880.0,161959.0,161771.0,161915.0,161847.0,161935.0,,161847.0,,161935.0,161915.0,1,161871.0,flat,,,,,[]
SILVERM,2026-08-24 10:15,254499.0,254559.0,254128.0,254292.0,254920.0,254565.0,,254920.0,,254565.0,254292.0,1,254488.0,flat,,,,,[]
GOLDM,2026-08-24 10:30,161930.0,162068.0,161930.0,162054.0,161847.0,161935.0,,161847.0,161935.0,161935.0,162054.0,2,161915.0,pending_long,,LONG,162068.0,,"[""PENDING_ENTRY_CREATED:LONG::""]"
SILVERM,2026-08-24 10:30,254500.0,254730.0,254334.0,254730.0,254920.0,254565.0,,254920.0,254565.0,254565.0,254730.0,2,254292.0,flat,,,,,[]
GOLDM,2026-08-24 10:45,162054.0,162150.0,161950.0,162000.0,161847.0,161935.0,161935.0,161847.0,161935.0,161935.0,162000.0,3,162054.0,long_position,LONG,,,161771.0,"[""ENTRY_EXECUTED:LONG:162068.0:""]"
SILVERM,2026-08-24 10:45,254730.0,254942.0,254500.0,254500.0,254920.0,254565.0,254565.0,254920.0,254565.0,254565.0,254500.0,3,254730.0,pending_short,,SHORT,254500.0,,"[""PENDING_ENTRY_CREATED:SHORT::""]"
GOLDM,2026-08-24 11:00,161960.0,162100.0,161793.0,161886.0,161847.0,161935.0,161935.0,161847.0,161935.0,161935.0,161886.0,4,162000.0,long_position,LONG,,,161771.0,[]
SILVERM,2026-08-24 11:00,254349.0,254678.0,254040.0,254058.0,254887.81597222222,254565.0,254565.0,254887.81597222222,254565.0,254565.0,254058.0,4,254500.0,short_position,SHORT,,,254942.0,"[""ENTRY_EXECUTED:SHORT:254500.0:""]"
GOLDM,2026-08-24 11:15,161886.0,162079.0,161830.0,161986.0,161847.0,161935.0,161935.0,161847.0,161935.0,161935.0,161986.0,5,161886.0,long_position,LONG,,,161771.0,[]
